,TRAV1-1*01,TRAV1-1*02,TRAV1-2*01,TRAV1-2*02,TRAV10*01,TRAV11*01,TRAV12-1*01,TRAV12-1*02,TRAV12-2*01,TRAV12-2*02,TRAV12-2*03,TRAV12-3*01,TRAV12-3*02,TRAV13-1*01,TRAV13-1*02,TRAV13-1*03,TRAV13-2*01,TRAV13-2*02,TRAV14/DV4*01,TRAV14/DV4*02,TRAV14/DV4*03,TRAV14/DV4*04,TRAV16*01,TRAV17*01,TRAV18*01,TRAV19*01,TRAV2*01,TRAV2*02,TRAV20*01,TRAV20*02,TRAV20*03,TRAV20*04,TRAV21*01,TRAV21*02,TRAV22*01,TRAV23/DV6*01,TRAV23/DV6*02,TRAV23/DV6*03,TRAV23/DV6*04,TRAV24*01,TRAV24*02,TRAV25*01,TRAV26-1*01,TRAV26-1*02,TRAV26-1*03,TRAV26-2*01,TRAV26-2*02,TRAV27*01,TRAV27*02,TRAV27*03,TRAV29/DV5*01,TRAV29/DV5*02,TRAV3*01,TRAV30*01,TRAV30*02,TRAV30*03,TRAV30*04,TRAV34*01,TRAV35*01,TRAV35*02,TRAV36/DV7*01,TRAV36/DV7*02,TRAV36/DV7*03,TRAV36/DV7*04,TRAV38-1*01,TRAV38-1*02,TRAV38-1*03,TRAV38-1*04,TRAV38-2/DV8*01,TRAV39*01,TRAV4*01,TRAV40*01,TRAV41*01,TRAV5*01,TRAV6*01,TRAV6*02,TRAV6*03,TRAV6*04,TRAV6*05,TRAV6*06,TRAV7*01,TRAV8-1*01,TRAV8-1*02,TRAV8-2*01,TRAV8-2*02,TRAV8-3*01,TRAV8-3*02,TRAV8-3*03,TRAV8-4*01,TRAV8-4*02,TRAV8-4*03,TRAV8-4*04,TRAV8-4*05,TRAV8-4*06,TRAV8-4*07,TRAV8-6*01,TRAV8-6*02,TRAV8-7*01,TRAV9-1*01,TRAV9-2*01,TRAV9-2*02,TRAV9-2*03,TRAV9-2*04
TRAV38-1*04,57,57,61,40,66,61,54,54,59,59,59,49,49,54,54,54,58,58,28,30,28,30,51,51,50,42,39,39,53,53,53,53,54,54,57,58,58,58,58,67,67,55,47,47,47,51,51,61,61,61,53,53,59,63,63,62,63,61,65,65,66,70,70,70,0,3,3,0,6,60,56,46,59,58,65,65,65,65,65,69,59,70,70,63,63,67,67,67,60,60,61,60,60,69,58,60,60,62,60,66,66,66,66
TRAV38-2/DV8*01,57,57,61,40,66,61,55,55,60,60,60,49,49,55,55,55,59,59,29,31,29,31,52,51,51,41,39,39,53,53,53,53,54,54,57,58,58,58,58,67,67,55,50,50,50,51,51,61,61,61,53,53,62,63,63,62,63,61,65,65,66,70,70,70,6,3,3,6,0,60,58,46,59,59,65,65,65,65,65,69,59,70,70,64,64,67,67,67,60,60,61,60,60,69,58,61,61,62,60,66,66,66,66
TRAV39*01,62,62,60,36,62,63,58,58,59,59,59,55,55,52,52,52,53,53,61,61,61,61,55,46,66,64,48,48,49,49,49,49,58,58,52,52,52,52,52,50,50,48,48,48,48,44,44,58,58,58,54,54,63,54,54,51,54,51,59,59,46,46,46,46,60,60,60,60,60,0,57,45,52,49,52,52,52,52,52,54,52,64,64,62,62,63,63,63,62,62,65,62,62,64,63,57,57,62,61,67,67,67,67
TRAV4*01,68,68,65,43,56,63,54,54,61,61,61,48,48,52,52,52,43,43,59,59,59,59,56,52,57,60,48,48,51,51,51,51,62,62,56,46,46,46,46,66,66,53,33,33,33,38,38,52,52,52,48,48,55,56,56,55,56,56,42,42,63,67,67,67,56,59,55,56,58,57,0,49,56,54,53,53,53,53,53,57,54,59,59,62,62,52,52,52,59,59,59,59,59,64,52,57,57,64,54,54,54,54,54
TRAV40*01,47,47,47,31,44,52,52,52,48,48,52,47,47,46,46,46,48,48,46,46,46,46,46,41,45,53,52,52,43,43,43,43,51,51,49,40,40,40,40,40,40,37,48,48,48,48,48,38,38,38,44,44,44,46,46,45,46,41,39,39,38,39,39,39,46,46,46,46,46,45,49,0,45,50,47,47,47,47,47,51,48,49,49,35,35,45,45,45,36,36,36,36,36,41,33,48,48,39,38,30,30,30,30
TRAV41*01,54,55,55,35,48,52,47,47,46,46,43,49,49,40,40,40,42,42,56,56,56,56,50,46,56,59,44,44,39,39,39,39,56,56,42,53,53,53,53,45,45,48,60,60,60,59,59,53,53,53,37,37,53,49,49,48,49,53,51,51,43,46,43,43,59,59,59,59,59,52,56,45,0,42,55,55,55,55,55,59,44,55,55,54,54,54,54,54,52,52,55,52,52,55,50,51,51,58,57,56,56,56,56
TRAV5*01,57,57,61,42,63,57,43,43,42,42,42,44,44,30,30,30,26,26,56,56,56,56,46,51,49,63,48,48,45,45,45,45,53,53,42,51,51,51,51,50,50,58,53,53,53,53,53,60,60,60,39,39,57,57,57,56,57,60,59,59,56,56,56,56,58,59,58,58,59,49,54,50,42,0,54,54,54,54,54,58,52,62,62,57,57,59,59,59,57,57,60,57,57,65,56,51,51,64,66,66,66,66,66
TRAV6*01,69,69,69,46,57,59,62,62,63,63,63,54,54,45,45,45,44,44,69,67,69,67,63,37,58,66,49,49,55,55,55,55,54,54,53,44,44,44,44,60,60,62,55,55,55,56,56,62,62,62,56,56,70,60,60,59,60,54,59,59,64,64,64,64,65,65,65,65,65,52,53,47,55,54,0,0,0,0,0,4,63,75,75,74,74,70,70,70,66,66,66,66,66,71,63,69,69,74,74,72,72,72,72
TRAV6*02,69,69,69,46,57,59,62,62,63,63,63,54,54,45,45,45,44,44,69,67,69,67,63,37,58,66,49,49,55,55,55,55,54,54,53,44,44,44,44,60,60,62,55,55,55,56,56,62,62,62,56,56,70,60,60,59,60,54,59,59,64,64,64,64,65,65,65,65,65,52,53,47,55,54,0,0,0,0,0,4,63,75,75,74,74,70,70,70,66,66,66,66,66,71,63,69,69,74,74,72,72,72,72
TRAV6*03,69,69,69,46,57,59,62,62,63,63,63,54,54,45,45,45,44,44,69,67,69,67,63,37,58,66,49,49,55,55,55,55,54,54,53,44,44,44,44,60,60,62,55,55,55,56,56,62,62,62,56,56,70,60,60,59,60,54,59,59,64,64,64,64,65,65,65,65,65,52,53,47,55,54,0,0,0,0,0,4,63,75,75,74,74,70,70,70,66,66,66,66,66,71,63,69,69,74,74,72,72,72,72
